,username,popularity score,reach score
0,gettleman,147100,25739
1,a24media,351,34354
2,andiMakinana,19349,104014
3,AfricaCheck,945,72622
4,JamesCopnall,125993,27006
5,oafrica,1549,34180
6,PatrickNgowi,7747,22975
7,StateAfrica,1,8
8,Moadow,14260,52687
9,BrendanSAfrica,3354,28827
10,CityTshwane,2558,441453
11,VISI_Mag,630,54715
12,ThisIsAfricaTIA,4837,48911
13,sarzss,13079,12823
14,TheEIU_Africa,730,25154
15,InvestInAfrica,685,49854
16,malonebarry,232893,31411
17,artsouthafrica,342,248
18,KahnMorbee,1802,17865
19,JamalMOsman,89727,94568
20,iamsuede,41401,20494
21,mikestopforth,112172,22161
22,equal_education,1144,62893
23,t_mcconnell,7835,19447
24,forbeesta,202707,23604
25,jaxpanik,2987,7504
26,thisisafrica,2987,6
27,audisouthafrica,9328,216295
28,ONEinAfrica,3787,322492
29,Hamza_Africa,12837,98927
30,africatechie,1732,107543
31,cx73,2010,120501
32,ayittey,1064,17222
33,MercedesBenz_SA,2243,252156
34,africagathering,90716,49602
35,okayafrica,5748,107129
36,mary_harper,113227,60187
37,savetherhino,4154,81340
38,africamedia_CPJ,1,487
39,TechCentral,202,83499
40,GautengProvince,24501,219847
41,Aynte,17172,193673
42,daniel_howden,60712,28416
43,rangerdiaries,2353,25085
44,TheStar_news,604,191689
45,schneiderhome,181659,27381
46,theafricareport,576,166695
47,CityofJoburgZA,716,1063916
48,ThinkAfricaFeed,703,49383
49,AfricaGoodNews,72839,50823
50,willintune,3907,20116
51,cnbcafrica,411,241029
52,MadeItInAfrica,949,106011
53,AfricaResearch,4344,90413
54,FoodBlogCT,106,110184
55,MbuyiseniNdlozi,142482,1077266
56,africaprogress,1636,59419
57,IFCAfrica,1383,128883
58,HenleyAfrica,436,217277
59,geoffreyyork,16320,296328
60,Entrepreneur_SA,694,270
61,forbesafrica,707,215896
62,IECSouthAfrica,1016,220791
63,art2gee,1714,62548
64,JendayiFrazer,838248,30407
65,PeterGreste,9392,52837
66,NDOCKenya,12551,152493
67,Mo_IbrahimFdn,1887,116070
68,ParliamentofRSA,536,674405
69,SandtonCity,289,57843
70,_AfricanUnion,6015,540598
71,gertjohan,3246,49544
72,SmithInAfrica,1,69
73,hartleyr,13454,35669
74,liveamp,6311,938685
75,SamsungSA,716,572446
76,BobSkinstad,11797,108667
77,Camfed,13598,209121
78,BBCAndrewH,1,7
79,euphonik,21985,1753231
80,UlrichJvV,39873,1573099
81,OfficialCSA,10539,1161557
82,MTVbaseAfrica,27205,1415284
83,Computicket,455,201507
84,loyisogola,563988,1089000
85,5FM,4021,1164408
86,mailandguardian,1207,1060169
87,helenzille,13261,1445367
88,Julius_S_Malema,174382,3123677
89,News24,8454,3573429
90,GarethCliff,8736,1974631
91,Trevornoah,3679201,10798965
