,African leaders
0,@EswatiniGovern1
1,@MalawiGovt
2,@hagegeingob
3,@FinanceSC
4,@PresidencyZA
5,@Dora_Siliya
6,@edmnangagwa
7,@MinSantedj
8,@hawelti
9,@StateHouseKenya
10,@WHO
11,@M_Farmaajo
12,@SouthSudanGov
13,@SudanPMHamdok
14,@TZSpokesperson
15,@KagutaMuseveni
16,@angola_Mirex
17,@willynyamitwe
18,@Cherif_MZ
19,@Presidence_RDC
20,@PresidentABO
21,@gouvbenin
22,@rochkaborepf
23,@PresidenciaCV
24,@AOuattara_PRCI
25,@Presidency_GMB
26,@NAkufoAddo
27,@President_GN
28,@USEmbalo
29,@PresidenceMali
30,@CheikhGhazouani
31,@IssoufouMhm
32,@MBuhari
33,@PaulKagame
34,@PresidentBio
35,@MSPS_Togo
