,entities,hashtags,mentions,number of likes,number of retweets,tweet,user
0,"{'hashtags': [{'indices': [57, 65], 'text': 'COVID19'}], 'urls': [{'url': 'https://t.co/dPIOskAWte', 'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1284562631865532418', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",COVID19,,66,28,"Ministerial Statement: Minister of Health Lizzie Nkosi's #COVID19 update on 18 July 2020:

New cases: 110
Total cas… https://t.co/dPIOskAWte",EswatiniGovern1
1,"{'hashtags': [{'indices': [57, 65], 'text': 'COVID19'}], 'urls': [{'url': 'https://t.co/s6s4AaumZ8', 'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1284166125312454656', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",COVID19,,43,16,"Ministerial Statement: Minister of Health Lizzie Nkosi's #COVID19 update on 17 July 2020:

New cases: 67
Total case… https://t.co/s6s4AaumZ8",EswatiniGovern1
2,"{'hashtags': [{'indices': [50, 58], 'text': 'COVID19'}, {'indices': [105, 113], 'text': 'COVID19'}], 'urls': [{'url': 'https://t.co/SX7Sfmulop', 'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1283799918939975680', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",COVID19 COVID19,,54,24,"Minister of Health Lizzie Nkosi announces one new #COVID19 death in Eswatini, taking the total number of #COVID19 d… https://t.co/SX7Sfmulop",EswatiniGovern1
3,"{'hashtags': [{'indices': [57, 65], 'text': 'COVID19'}], 'urls': [{'url': 'https://t.co/3Ge4J1KV9C', 'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1283444273149620224', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",COVID19,,28,13,"Ministerial Statement: Minister of Health Lizzie Nkosi's #COVID19 update on 15 July 2020:

New cases: 55
Total case… https://t.co/3Ge4J1KV9C",EswatiniGovern1
4,"{'hashtags': [], 'urls': [{'url': 'https://t.co/TFp9F4PE0d', 'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1283332522777157632', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",,,9,2,"Ambassador Aragones: “When this project is implemented, it will run for the next eight months. It is earmarked to r… https://t.co/TFp9F4PE0d",EswatiniGovern1
5,"{'hashtags': [{'indices': [95, 103], 'text': 'COVID19'}], 'urls': [{'url': 'https://t.co/61btdfLM6b', 'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1283332518964600839', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",COVID19,,13,2,Ambassador Aragones: “This assistance is part of the bigger support the EU is providing to the #COVID19 response in… https://t.co/61btdfLM6b,EswatiniGovern1
6,"{'hashtags': [], 'urls': [{'url': 'https://t.co/FZWix2DJQn', 'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1283332516586422273', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",,,3,0,PM: “This support is significant as it adds to the ongoing food assistance programme which has already benefited ov… https://t.co/FZWix2DJQn,EswatiniGovern1
7,"{'hashtags': [], 'urls': [{'url': 'https://t.co/71rxEQx06H', 'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1283332512966680578', 'indices': [121, 144]}], 'user_mentions': [], 'symbols': []}",,,5,0,"Prime Minister: “The EU is showing, yet again, the kind of friend &amp; collaborator it is to this Kingdom. It is impor… https://t.co/71rxEQx06H",EswatiniGovern1
8,"{'hashtags': [], 'urls': [{'url': 'https://t.co/W1T84rA1Yy', 'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1283332508998934529', 'indices': [117, 140]}], 'user_mentions': [{'id_str': '3131051951', 'name': 'EU in Eswatini', 'indices': [76, 89], 'screen_name': 'EUinEswatini', 'id': 3131051951}], 'symbols': []}",,EUinEswatini,35,8,Prime Minister Ambrose Dlamini has this morning received E46.6 million from @EUinEswatini Ambassador Esmeralda Hern… https://t.co/W1T84rA1Yy,EswatiniGovern1
9,"{'hashtags': [{'indices': [63, 71], 'text': 'COVID19'}], 'urls': [{'url': 'https://t.co/ybzWcP9yUn', 'display_url': 'pscp.tv/w/cd1jijFWR2p2…', 'expanded_url': 'https://www.pscp.tv/w/cd1jijFWR2p2eW5Sd29kS098MW5BS0VBb0VheXZLTDDahMtVbdhn6HxubpHq5UYtTNRqDpNNAZJoDDf1BGGF', 'indices': [102, 125]}], 'user_mentions': [], 'symbols': []}",COVID19,,27,10,[WATCH LIVE]: Prime Minister Ambrose Mandvulo Dlamini receives #COVID19 aid from the European Union.  https://t.co/ybzWcP9yUn,EswatiniGovern1
